City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Zhob,PK,31.3411,69.4481,59.85,32,0,2.15,clear sky
335,Pisco,PE,-13.7,-76.2167,75.99,83,75,5.75,broken clouds
336,Roald,NO,62.5833,6.1333,26.6,39,0,10.36,clear sky
337,Biskamzha,RU,53.4497,89.5272,28.9,96,86,6.71,light snow
338,Pyshma,RU,56.9523,63.2513,-1.89,87,100,15.48,overcast clouds
339,Yichun,CN,47.7,128.9,-17.48,88,2,2.89,clear sky
340,Cidreira,BR,-30.1811,-50.2056,77.65,63,50,9.84,scattered clouds
341,Dikson,RU,73.5069,80.5464,-27.78,86,91,10.78,overcast clouds
342,Barra Da Estiva,BR,-13.6261,-41.3269,75.67,74,93,3.51,moderate rain
343,Alice Springs,AU,-23.7,133.8833,78.01,35,39,6.91,scattered clouds
344,Suba,PH,10.8438,121.0102,81.0,82,80,23.96,moderate rain
345,Owando,CG,-0.4819,15.8999,88.79,50,83,3.71,broken clouds
